iter	Passed	Remaining
0	1	162
1	2	139
2	3	125
3	4	117
4	6	114
5	7	111
6	8	108
7	9	105
8	10	104
9	11	102
10	12	101
11	13	99
12	14	97
13	15	95
14	16	94
15	17	93
16	18	91
17	19	90
18	20	88
19	21	87
20	22	85
21	23	84
22	24	83
23	26	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	33	74
31	34	73
32	35	72
33	36	71
34	37	69
35	38	68
36	39	67
37	40	66
38	42	66
39	43	65
40	45	64
41	46	63
42	47	62
43	47	61
44	48	59
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	66	42
61	67	41
62	68	39
63	69	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
